wp_product_id,wp_product_name,proposed_slug,source_of_slug,confidence,status,notes
4231,"Certified Professional/Manager Membership Fee",manager-membership,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
4233,"Corporate Membership Fee",corporate-membership,database/seeders/CommerceConfirmedProductsSeeder.php:source_id,high,confirmed,"Confirmed implemented Laravel product slug; source_id preserved in CommerceConfirmedProductsSeeder."
4234,"Professional Membership Fee",professional-membership,database/seeders/CommerceConfirmedProductsSeeder.php:source_id,high,confirmed,"Confirmed implemented Laravel product slug; source_id preserved in CommerceConfirmedProductsSeeder."
5589,"American Certified Procurement Professional (ACPP)®",american-certified-procurement-professional-acpp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
5590,"Chartered Procurement Manager  (CPM)®",american-certified-procurement-manager-acpm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
5591,"The American Certified Supply Chain Professional (ACSCP)®",the-american-certified-supply-chain-professional-acscp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
5593,"Chartered Supply Chain Manager (ACSCM)®",the-american-certified-supply-chain-manager-acscm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
5595,"The American Certified Tourism Professional (ACTP)®",the-american-certified-tourism-professional-actp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
6509,"Membership Service Fee",membership-service,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
6857,"Procurement Project Management Success",procurement-project-management-success,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7360,"Model Contract Terms and Conditions with Annotations and Case Summaries",model-contract-terms-and-conditions-with-annotations-and-case-summaries,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7362,"Essentials of Inventory Management",essentials-of-inventory-management,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7364,"Sale! A Practical Guide to Transportation and Logistics, Third Edition",sale-a-practical-guide-to-transportation-and-logistics-third-edition,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7382,"New! Transportation - A Supply Chain Perspective",new-transportation-a-supply-chain-perspective,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7384,"World-Class Warehousing and Material Handling, 2nd Edition",world-class-warehousing-and-material-handling-2nd-edition,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7387,"New! Inventory Strategy",new-inventory-strategy,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7392,"Green Purchasing and Sustainability",green-purchasing-and-sustainability,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7394,"Managing Indirect Spend",managing-indirect-spend,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7396,"Purchase Order Management, Best Practices",purchase-order-management-best-practices,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7398,"Supplier Evaluation and Performance Excellence",supplier-evaluation-and-performance-excellence,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7400,"Spend Analysis - The Window into Strategic Sourcing",spend-analysis-the-window-into-strategic-sourcing,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7402,"The Newly Revised Purchasing Law Study Pack",the-newly-revised-purchasing-law-study-pack,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7404,"Sale! Supply Management and Procurement - From Basics to Best-in-Class",sale-supply-management-and-procurement-from-basics-to-best-in-class,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7406,"You're the Buyer-You Negotiate It!",youre-the-buyer-you-negotiate-it,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7408,"Essentials of Supply Chain Management Third Edition",essentials-of-supply-chain-management-third-edition,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
