"wp_post_id","wp_slug","audience","wp_price_usd","laravel_product_id","laravel_membership_tier_id","laravel_price_usd","status","notes"
"20279","american-certified-procurement-professional-acpp-authorized-on-demand-aapscm-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20288","american-certified-procurement-professional-acpp-authorized-on-demand-aapscm-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20299","chartered-procurement-manager-cpm-authorized-on-demand-aapscm-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20304","chartered-procurement-manager-cpm-authorized-on-demand-aapscm-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20309","american-certified-supply-chain-professional-acscp-authorized-on-demand-and-self-paced-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20320","american-certified-supply-chain-professional-acscp-authorized-on-demand-and-self-paced-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20325","chartered-supply-chain-manager-cscm-authorized-on-demand-self-paced-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20333","chartered-supply-chain-manager-cscm-authorized-on-demand-self-paced-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20338","american-certified-tourism-professional-actp-authorized-self-paced-on-demand","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20346","american-certified-tourism-professional-actp-authorized-self-paced-on-demand-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20377","chartered-supply-chain-arti%ef%ac%81cial-intelligence-analyst-csai-authorized-on-demand-self-paced-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20383","chartered-supply-chain-arti%ef%ac%81cial-intelligence-analyst-csai-authorized-on-demand-self-paced-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20436","chartered-supply-chain-technology-managers-csct-authorized-on-demand-self-paced-exam-prep","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20447","chartered-supply-chain-technology-managers-csct-authorized-on-demand-self-paced-exam-prep-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20463","chartered-healthcare-procurement-solutions-professional-chpp-memeber","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"20474","chartered-healthcare-procurement-solutions-professional-chpp-non-member","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24374","american-certified-digital-procurement-analytics-specialist-ac-dpas-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
